TABLE:  Time History Plot,,,,,,,,
Time,st1,st2,st3,st4,st5,st6,st7,st8
sec,mm,mm,mm,mm,mm,mm,mm,mm
35.3,1.178,6.755,16.871,32,50.959,72.86,95.743,117.544
35.4,3.809,10.897,20.525,32.741,46.723,62.188,78.333,94.256
35.5,5.613,13.52,22.008,30.509,38.573,46.287,53.602,60.677
35.6,1.904,5.391,10.017,15.136,19.674,22.972,24.9,26.123
35.7,-1.238,-3.181,-5.407,-7.397,-8.569,-8.646,-7.929,-7.343
35.8,-3.338,-8.657,-15.03,-21.943,-28.692,-34.998,-40.571,-45.448
35.9,-3.535,-9.66,-17.695,-27.818,-39.573,-52.797,-66.559,-79.56
36,-2.959,-9.7,-19.754,-33.171,-48.743,-65.712,-82.887,-99.314
36.1,-3.718,-11.386,-22.056,-35.638,-51.248,-68.65,-86.948,-105.093
36.2,-3.715,-10.611,-20.057,-32.363,-46.874,-63.303,-80.626,-97.643
36.3,-3.634,-10.217,-19.029,-29.951,-42.098,-55.006,-67.835,-79.806
36.4,-3.827,-9.858,-17.074,-24.986,-32.853,-40.355,-47.121,-53.111
36.5,-2.265,-5.411,-8.782,-12.143,-15.233,-18.014,-20.53,-22.942
36.6,1.249,2.847,4.387,5.641,6.505,6.924,6.86,6.445
36.7,3.591,8.626,14.153,19.71,24.694,28.91,32.451,35.683
36.8,3.684,9.717,17.261,26.189,35.885,46.11,56.325,66.089
36.9,2.705,8.581,17.225,28.845,42.727,58.56,75.249,91.421
37,3.403,10.39,20.412,33.753,49.569,67.351,85.819,103.672
37.1,5.223,14.178,25.677,39.492,54.593,70.609,86.769,102.393
37.2,6.013,15.452,26.846,39.803,53.376,67.272,80.893,93.809
37.3,4.295,11.659,21.073,32.29,44.382,56.892,69.126,80.604
37.4,0.818,4.013,9.485,17.202,26.444,36.818,47.558,57.885
37.5,-1.192,-1.818,-1.424,0.544,4.286,9.843,16.597,23.61
37.6,-2.058,-4.744,-7.666,-10.654,-13.388,-15.667,-17.258,-18.221
37.7,-2.419,-6.925,-12.929,-20.464,-29.266,-39.436,-50.521,-61.686
37.8,-2.612,-8.598,-17.646,-30.162,-45.271,-62.312,-80.042,-97.44
37.9,-4.71,-13.725,-26.112,-41.931,-60.183,-80.573,-101.98,-122.877
38,-6.946,-18.805,-33.938,-52.053,-71.871,-92.827,-113.62,-133.105
38.1,-7.107,-19.239,-34.837,-53.316,-72.868,-92.613,-111.612,-129.556
38.2,-6.395,-16.813,-29.653,-44.859,-61.781,-80.358,-99.614,-118.328
38.3,-2.568,-8.685,-18.005,-30.625,-45.473,-61.968,-79.033,-95.663
38.4,-1.22,-4.447,-9.651,-17.268,-26.902,-38.246,-50.351,-62.045
38.5,-1.181,-3.009,-5.113,-7.375,-9.734,-12.342,-15.184,-18.034
38.6,-0.029,0.652,2.143,4.846,8.913,14.533,21.322,28.239
38.7,1.596,5.667,12.027,20.736,30.992,42.254,53.609,64.392
38.8,5.085,13.556,24.141,36.61,50.129,64.469,79.02,93.206
38.9,5.767,15.795,28.686,44.072,60.77,78.348,95.944,112.813
39,4.077,12.761,25.282,41.539,60.151,80.279,100.398,119.282
39.1,3.795,11.249,21.652,35.315,51.57,70.209,90.123,109.713
39.2,3.359,9.742,18.416,29.432,42.034,55.848,70.062,83.96
39.3,2.378,6.888,12.934,20.172,27.83,35.617,43.22,50.51
39.4,1.093,2.497,3.951,5.53,7.321,9.384,11.476,13.211
39.5,-1.273,-3.45,-6.152,-9.427,-13.253,-17.735,-22.673,-27.69
39.6,-2.284,-6.981,-13.654,-22.306,-32.248,-43.1,-54.131,-64.616
39.7,-3.532,-10.492,-20.227,-32.639,-46.65,-61.636,-76.521,-90.44
39.8,-5.821,-15.225,-26.833,-40.566,-55.705,-72.129,-89.043,-105.536
39.9,-5.446,-15.094,-27.7,-42.953,-59.581,-77.077,-94.651,-111.735
40,-3.87,-11.865,-23.152,-37.702,-54.444,-72.779,-91.395,-109.089
